recyclable 0,organics 1,waste 2
2,16,1
3,17,10
4,18,13
5,19,14
6,20,27
9,21,28
15,22,31
35,23,32
36,24,38
37,25,40
39,34,43
41,52,47
42,53,51
44,54,62
46,55,63
48,56,65
49,57,67
50,58,70
83,59,72
87,60,73
7,61,74
8,64,75
,,76
,,77
,,78
,,79
,,80
,,81
,,82
,,85
,,86
,,88
,,89
,,90
,,11
